iter	Passed	Remaining
403	11481	16938
404	11510	16910
405	11539	16882
406	11568	16854
407	11593	16821
408	11617	16787
409	11643	16754
410	11669	16723
411	11694	16689
412	11719	16656
413	11743	16622
414	11769	16590
415	11793	16556
416	11819	16524
417	11844	16491
418	11872	16462
419	11899	16433
420	11927	16403
421	11942	16357
422	11971	16329
423	12007	16311
424	12037	16286
425	12067	16260
426	12100	16237
427	12133	16215
428	12165	16191
429	12197	16169
430	12226	16141
431	12252	16110
432	12280	16080
433	12312	16056
434	12346	16035
435	12376	16009
436	12407	15985
437	12438	15960
438	12470	15936
439	12498	15907
440	12527	15879
441	12556	15851
442	12582	15820
443	12614	15796
444	12640	15765
445	12669	15737
446	12694	15704
447	12720	15673
448	12746	15641
449	12771	15609
450	12796	15577
451	12825	15548
452	12854	15521
453	12881	15491
454	12920	15476
455	12962	15464
456	12994	15440
457	13029	15419
458	13061	15395
459	13099	15377
460	13133	15356
461	13168	15334
462	13203	15313
463	13234	15288
464	13270	15268
465	13298	15238
466	13333	15218
467	13368	15196
468	13393	15163
469	13417	15130
470	13445	15100
471	13475	15073
472	13504	15046
473	13536	15021
474	13567	14995
475	13599	14971
476	13627	14941
477	13659	14916
478	13689	14889
479	13718	14861
480	13747	14833
481	13776	14804
482	13801	14773
483	13826	14741
484	13855	14712
485	13884	14684
486	13916	14659
487	13947	14633
488	13976	14605
489	14010	14581
490	14042	14556
491	14074	14532
492	14101	14502
493	14127	14470
494	14157	14443
495	14183	14412
496	14208	14380
497	14233	14347
498	14256	14313
499	14285	14285
500	14300	14243
501	14330	14216
502	14359	14188
503	14394	14166
504	14425	14139
505	14456	14114
506	14486	14086
507	14514	14057
508	14546	14031
509	14578	14006
510	14607	13978
511	14637	13951
512	14667	13924
513	14695	13895
514	14720	13863
515	14748	13833
516	14778	13807
517	14813	13783
518	14846	13759
519	14880	13736
520	14918	13715
521	14946	13686
522	14979	13662
523	15011	13636
524	15041	13609
525	15072	13582
526	15106	13558
527	15139	13533
528	15173	13509
529	15203	13482
530	15230	13452
531	15259	13423
532	15286	13394
533	15314	13364
534	15340	13333
535	15366	13302
536	15393	13271
537	15420	13242
538	15448	13212
539	15475	13182
540	15503	13154
541	15531	13124
542	15558	13094
543	15584	13063
544	15612	13034
545	15637	13002
546	15676	12982
547	15712	12959
548	15740	12930
549	15769	12902
550	15800	12875
551	15833	12850
552	15873	12830
553	15908	12807
554	15949	12788
555	15985	12765
556	16028	12747
557	16060	12721
558	16096	12698
559	16129	12673
560	16163	12648
561	16196	12622
562	16227	12596
563	16263	12572
564	16296	12546
565	16323	12516
566	16357	12491
567	16390	12466
568	16425	12442
569	16456	12414
570	16491	12389
571	16520	12361
572	16555	12337
573	16584	12308
574	16616	12281
575	16648	12255
576	16687	12233
577	16727	12212
578	16764	12189
579	16804	12168
580	16839	12144
581	16875	12120
582	16913	12097
583	16950	12074
584	16986	12050
585	17017	12022
586	17050	11996
587	17083	11969
588	17125	11949
589	17165	11928
590	17198	11902
591	17243	11884
592	17281	11860
593	17321	11839
594	17367	11821
595	17406	11799
596	17441	11773
597	17476	11748
598	17517	11727
599	17558	11705
600	17593	11680
601	17625	11652
602	17655	11624
603	17686	11595
604	17715	11566
605	17744	11536
606	17775	11508
607	17803	11478
608	17828	11446
609	17857	11417
610	17887	11388
611	17918	11359
612	17948	11331
613	17977	11302
614	18008	11273
615	18037	11244
616	18070	11217
617	18097	11186
618	18127	11157
619	18156	11128
620	18184	11098
621	18210	11066
622	18236	11035
623	18261	11003
624	18289	10973
625	18313	10941
626	18339	10909
627	18364	10878
628	18389	10846
629	18416	10815
630	18444	10786
631	18474	10757
632	18503	10728
633	18537	10701
634	18573	10676
635	18607	10649
636	18635	10619
637	18663	10589
638	18692	10560
639	18722	10531
640	18750	10501
641	18783	10474
642	18813	10445
643	18847	10418
644	18880	10391
645	18909	10362
646	18940	10333
647	18971	10305
648	19001	10276
649	19031	10247
650	19061	10218
651	19090	10189
652	19122	10161
653	19150	10131
654	19177	10101
655	19204	10070
656	19233	10041
657	19259	10010
658	19285	9979
659	19310	9947
660	19335	9916
661	19360	9885
662	19385	9853
663	19410	9822
664	19442	9794
665	19473	9766
666	19507	9738
667	19538	9710
668	19571	9683
669	19604	9655
670	19638	9629
671	19670	9601
672	19701	9572
673	19733	9544
674	19765	9516
675	19794	9487
676	19820	9456
677	19845	9425
678	19870	9393
679	19896	9363
680	19925	9333
681	19956	9305
682	19986	9276
683	20019	9248
684	20050	9220
685	20081	9191
686	20111	9162
687	20139	9133
688	20170	9104
689	20200	9075
690	20231	9047
691	20259	9017
692	20288	8987
693	20317	8958
694	20343	8927
695	20373	8898
696	20403	8869
697	20433	8840
698	20466	8813
699	20498	8785
700	20527	8755
701	20568	8731
702	20598	8702
703	20630	8674
704	20659	8644
705	20692	8616
706	20732	8592
707	20768	8565
708	20807	8540
709	20846	8514
710	20886	8489
711	20929	8465
712	20972	8442
